city,date,AQI,PM2.5,PM10,SO2,NO2,CO,O3,O3_8h,quality_level
常州,2025-01-01,98,73,124,12,64,1,86,86,良
许昌,2025-01-01,163,124,176,11,50,1.1,91,91,中度污染
常州,2025-01-02,75,52,90,11,60,0.9,75,75,良
许昌,2025-01-02,115,87,167,11,44,1.2,49,49,轻度污染
常州,2025-01-03,74,54,89,9,45,0.7,86,86,良
许昌,2025-01-03,139,106,151,10,51,1.2,63,63,轻度污染
常州,2025-01-04,69,50,80,1,49,0.7,85,85,良
许昌,2025-01-04,207,157,211,11,54,1.3,41,41,重度污染
常州,2025-01-05,108,81,116,9,40,0.8,98,98,轻度污染
许昌,2025-01-05,104,78,133,8,33,0.8,83,83,轻度污染
常州,2025-01-06,74,53,97,10,39,0.7,76,76,良
许昌,2025-01-06,63,30,75,7,28,0.5,73,73,良
常州,2025-01-07,64,44,74,11,51,0.6,58,58,良
许昌,2025-01-07,67,48,84,8,40,0.6,64,64,良
常州,2025-01-08,72,52,83,14,48,0.7,65,65,良
许昌,2025-01-08,57,24,64,7,24,0.5,61,61,良
常州,2025-01-09,33,15,33,8,22,0.4,65,65,优
许昌,2025-01-09,55,34,60,6,34,0.5,64,64,良
常州,2025-01-10,50,27,50,10,40,0.5,60,60,优
许昌,2025-01-10,92,68,105,8,47,0.8,58,58,良
常州,2025-01-11,75,54,79,13,60,0.7,49,49,良
许昌,2025-01-11,67,38,83,8,25,0.6,80,80,良
常州,2025-01-12,65,47,78,12,47,0.6,76,76,良
许昌,2025-01-12,64,28,77,6,22,0.5,79,79,良
常州,2025-01-13,88,65,112,13,60,0.8,92,92,良
许昌,2025-01-13,89,66,120,9,40,0.8,83,83,良
常州,2025-01-14,118,89,139,15,71,1.1,87,87,轻度污染
许昌,2025-01-14,116,72,181,10,42,0.9,62,62,轻度污染
常州,2025-01-15,47,18,47,9,27,0.4,63,63,优
许昌,2025-01-15,65,30,80,9,31,0.5,69,69,良
常州,2025-01-16,68,41,77,12,54,0.7,59,59,良
许昌,2025-01-16,56,29,61,8,27,0.5,76,76,良
常州,2025-01-17,84,62,97,13,64,0.9,80,80,良
许昌,2025-01-17,87,64,98,8,46,0.8,83,83,良
常州,2025-01-18,95,70,106,13,76,0.9,88,88,良
许昌,2025-01-18,108,81,116,10,42,0.8,93,93,轻度污染
常州,2025-01-19,118,89,125,14,67,0.9,104,104,轻度污染
许昌,2025-01-19,84,62,94,12,33,0.7,86,86,良
常州,2025-01-20,160,122,163,15,80,1.1,86,86,中度污染
许昌,2025-01-20,176,133,168,12,63,1,106,106,中度污染
常州,2025-01-21,170,129,174,13,81,1.2,129,129,中度污染
许昌,2025-01-21,240,190,228,12,59,1.2,98,98,重度污染
常州,2025-01-22,102,76,101,10,53,0.8,126,126,轻度污染
许昌,2025-01-22,169,128,187,14,38,1.1,76,76,中度污染
常州,2025-01-23,60,43,69,9,44,0.8,62,62,良
许昌,2025-01-23,74,54,78,7,27,0.6,42,42,良
常州,2025-01-24,51,32,51,9,26,0.8,69,69,良
许昌,2025-01-24,144,110,113,6,23,0.9,33,33,轻度污染
常州,2025-01-25,41,18,36,7,16,0.5,82,82,优
许昌,2025-01-25,130,99,102,5,19,0.9,47,47,轻度污染
常州,2025-01-26,58,41,55,6,15,0.7,79,79,良
许昌,2025-01-26,63,24,76,6,8,0.4,80,80,良
常州,2025-01-27,42,20,42,7,11,0.5,79,79,优
许昌,2025-01-27,42,12,36,7,8,0.4,83,83,优
常州,2025-01-28,51,34,51,9,13,0.5,90,90,良
