city,month,AQI,PM2.5,PM10,SO2,NO2,CO,O3,O3_8h,quality_level
常州,2013-01,147,112,137,1.829,71,60,55,55,轻度污染
郑州,2013-01,265,219,308,107,71,5.013,0,0,重度污染
常州,2013-02,106,79,93,1.136,46,33,85,85,轻度污染
郑州,2013-02,195,151,216,67,45,3.314,0,0,中度污染
常州,2013-03,106,77,117,1.184,64,52,98,98,轻度污染
郑州,2013-03,119,83,150,51,46,2.432,0,0,轻度污染
常州,2013-04,98,69,111,1.03,54,47,127,127,良
郑州,2013-04,110,78,136,49,45,2.413,0,0,轻度污染
常州,2013-05,87,57,85,1.023,43,31,120,120,良
许昌,2013-05,70,0,89,19,37,0,0,0,良
郑州,2013-05,130,91,133,33,49,2.029,0,0,轻度污染
常州,2013-06,86,57,78,0.883,41,28,113,113,良
许昌,2013-06,86,0,119,16,37,0,0,0,良
郑州,2013-06,142,91,147,30,45,1.827,0,0,轻度污染
常州,2013-07,76,34,61,0.823,32,27,126,126,良
许昌,2013-07,61,0,74,7,30,0,0,0,良
郑州,2013-07,106,73,131,21,36,1.726,0,0,轻度污染
常州,2013-08,80,40,65,0.8,37,31,125,125,良
许昌,2013-08,60,0,71,16,22,0,0,0,良
郑州,2013-08,92,57,106,27,36,1.852,138,138,良
常州,2013-09,65,44,63,0.933,36,27,87,87,良
许昌,2013-09,80,0,107,20,43,0,0,0,良
郑州,2013-09,118,83,130,39,48,2.387,78,78,轻度污染
常州,2013-10,74,53,73,0.871,35,32,81,81,良
许昌,2013-10,112,0,170,49,59,0,0,0,轻度污染
郑州,2013-10,193,150,205,66,56,3.239,103,103,中度污染
常州,2013-11,126,92,138,1.307,48,49,49,49,轻度污染
许昌,2013-11,86,0,112,84,54,0,0,0,良
郑州,2013-11,113,78,142,84,59,2.703,54,54,轻度污染
中山,2013-12,114,86,114,63,42,1.423,66,66,轻度污染
合肥,2013-12,222,180,195,1.867,41,48,36,36,重度污染
常州,2013-12,194,155,201,1.9,64,70,40,40,中度污染
湖州,2013-12,195,157,200,80,1.603,55,38,38,中度污染
芜湖,2013-12,151,116,202,82,1.3,64,49,49,中度污染
许昌,2013-12,171,86,196,101,58,1.323,24,24,中度污染
郑州,2013-12,179,140,206,119,78,3.094,52,52,中度污染
中山,2014-01,95,70,101,54,35,1.277,99,99,良
合肥,2014-01,196,155,164,1.577,32,39,39,39,中度污染
常州,2014-01,144,110,154,1.548,51,48,58,58,轻度污染
湖州,2014-01,152,117,140,67,1.248,36,52,52,中度污染
芜湖,2014-01,165,128,177,48,1.139,44,46,46,中度污染
许昌,2014-01,183,142,173,87,60,2.635,50,50,中度污染
郑州,2014-01,163,121,190,91,65,2.787,33,33,中度污染
中山,2014-02,58,40,55,35,25,1.264,62,62,良
合肥,2014-02,112,85,88,1.018,18,23,41,41,轻度污染
常州,2014-02,93,68,91,1.168,33,31,69,69,良
湖州,2014-02,95,71,73,35,0.954,18,67,67,良
芜湖,2014-02,99,74,92,34,0.957,29,44,44,良
许昌,2014-02,161,123,69,43,43,3.121,56,56,中度污染
郑州,2014-02,146,111,140,52,43,1.996,42,42,轻度污染
中山,2014-03,63,44,65,38,23,1.455,59,59,良
合肥,2014-03,103,78,107,0.932,21,32,50,50,轻度污染
常州,2014-03,99,72,116,1.352,48,44,91,91,良
湖州,2014-03,92,68,98,56,0.935,29,105,105,良
芜湖,2014-03,84,60,110,18,1.152,22,35,35,良
许昌,2014-03,144,106,134,42,64,1.687,92,92,轻度污染
郑州,2014-03,120,88,159,53,55,1.952,67,67,轻度污染
中山,2014-04,62,35,48,31,14,1.29,93,93,良
合肥,2014-04,90,67,82,0.847,15,29,54,54,良
常州,2014-04,87,63,95,0.95,44,35,99,99,良
湖州,2014-04,83,57,79,48,0.863,24,110,110,良
芜湖,2014-04,82,57,107,14,1.007,18,57,57,良
许昌,2014-04,119,84,86,31,57,1.957,104,104,轻度污染
郑州,2014-04,112,79,140,40,56,2.133,72,72,轻度污染
中山,2014-05,35,19,27,18,8,0.9,57,57,优
合肥,2014-05,109,76,148,0.858,18,29,67,67,轻度污染
常州,2014-05,114,75,137,0.987,50,38,147,147,轻度污染
湖州,2014-05,97,66,108,47,0.916,28,130,130,良
芜湖,2014-05,121,87,159,19,1.103,24,57,57,轻度污染
许昌,2014-05,110,72,149,34,54,1.158,133,133,轻度污染
郑州,2014-05,105,72,138,37,46,1.539,78,78,轻度污染
中山,2014-06,54,23,36,15,8,0.763,92,92,良
合肥,2014-06,124,94,127,1.083,20,23,80,80,轻度污染
常州,2014-06,107,67,96,1.023,38,37,150,150,轻度污染
湖州,2014-06,95,52,73,39,0.91,17,147,147,良
芜湖,2014-06,114,86,124,48,1.037,19,72,72,轻度污染
许昌,2014-06,107,58,107,23,51,1.287,145,145,轻度污染
郑州,2014-06,106,78,111,20,38,1.507,105,105,轻度污染
中山,2014-07,54,21,32,16,11,0.765,94,94,良
合肥,2014-07,82,58,97,0.919,11,21,58,58,良
常州,2014-07,93,55,82,0.997,31,25,131,131,良
湖州,2014-07,88,46,67,34,0.932,11,136,136,良
芜湖,2014-07,85,62,88,36,0.823,23,60,60,良
许昌,2014-07,90,30,86,14,37,0.977,144,144,良
郑州,2014-07,90,53,106,16,41,1.106,127,127,良
中山,2014-08,39,14,24,13,13,0.871,73,73,优
合肥,2014-08,75,54,83,0.923,12,17,55,55,良
常州,2014-08,77,48,73,0.884,31,24,105,105,良
湖州,2014-08,66,40,60,35,0.961,12,105,105,良
芜湖,2014-08,66,45,77,16,0.858,21,39,39,良
许昌,2014-08,78,39,100,13,37,1.229,113,113,良
郑州,2014-08,86,58,99,19,40,1.161,86,86,良
